时间,XX进口压力,XX出口压力,XX进口温度,XX出口温度,XX过滤器压差1号,XX过滤器压差2号,XX天然气泄漏浓度1号,XX天然气泄漏浓度2号,XX1号流量计温度,XX1号流量计压力,XX1号流量计工况瞬时流量,XX1号流量计标况瞬时流量,XX1号流量计工况累计流量,XX1号流量计标况累计流量,XX2号流量计温度,XX2号流量计压力,XX2号流量计工况瞬时流量,XX2号流量计标况瞬时流量,XX2号流量计工况累计流量,XX2号流量计标况累计流量
2023-04-0500:01:41,3.48,217.35,16.54,0.95,22.33,21.87,0,0.07,15.94,313.56,0,0,64671340,133277752,1.1,317.34,2157.3,7271.82,77722632,256612112
2023-04-0500:06:37,3.48,217.9,16.54,0.95,22.21,21.74,0,0.19,15.93,313.58,0,0,64671340,133277752,1.09,317.81,2149.2,7255.63,77722808,256612720
2023-04-0500:11:38,3.48,217.84,16.55,0.94,22.19,21.72,0,0,15.92,313.56,0,0,64671340,133277752,1.08,317.83,2149.2,7256.3,77722992,256613328
2023-04-0500:16:39,3.48,218.06,16.55,0.95,22.2,21.73,0,0.09,15.93,313.54,0,0,64671340,133277752,1.08,317.89,2149.2,7257.54,77723168,256613936
2023-04-0500:21:40,3.48,219,16.55,0.97,21.26,20.79,0,0.02,15.92,313.54,0,0,64671340,133277752,1.14,318.98,2071.9,7019.12,77723344,256614512
2023-04-0500:26:50,3.48,219.34,16.56,0.97,20.22,19.74,0,0.04,15.89,313.54,0,0,64671340,133277752,1.16,319.35,1986.1,6735.64,77723488,256615008
2023-04-0500:31:43,3.48,219.28,16.55,0.99,20.31,19.83,0,0.04,15.91,313.53,0,0,64671340,133277752,1.16,318.85,2013.9,6819.38,77723680,256615664
2023-04-0500:36:39,3.48,220.28,16.57,1,17.45,16.96,0,0.03,15.92,313.53,0,0,64671340,133277752,1.18,320.41,1907.2,6489.19,77723840,256616208
2023-04-0500:41:40,3.48,217.69,16.56,1.01,19.96,19.47,0,0.02,15.89,313.51,0,0,64671340,133277752,1.21,317.79,1932.8,6521.98,77723992,256616704
2023-04-0500:46:41,3.49,218.82,16.57,0.99,19.25,18.77,0,0.03,15.9,313.51,0,0,64671340,133277752,1.15,319.09,1907.2,6463.27,77724152,256617248
2023-04-0500:51:37,3.48,218.27,16.56,0.93,20.99,20.52,0,0.11,15.88,313.51,0,0,64671340,133277752,1.09,318.1,2057.1,6951.08,77724320,256617824
2023-04-0500:56:38,3.48,218.15,16.56,0.93,20.44,19.97,0,0.05,15.89,313.51,0,0,64671340,133277752,1.08,318.2,2006.9,6783.66,77724488,256618400
2023-04-0501:01:39,3.48,218.6,16.56,0.91,20.09,19.59,0,0,15.88,313.51,0,0,64671340,133277752,1.07,318.65,1972.5,6677.18,77724656,256618976
2023-04-0501:06:40,3.48,218.06,16.57,0.9,20.23,19.75,0,0,15.89,313.51,0,0,64671340,133277752,1.09,318.07,1965.8,6641.8,77724816,256619520
2023-04-0501:11:41,3.48,219,16.55,0.9,19.91,19.43,0,0.11,15.9,313.49,0,0,64671340,133277752,1.08,318.98,1965.8,6661.13,77724992,256620096
2023-04-0501:16:38,3.49,218.88,16.6,1.17,12.29,11.74,0,0,15.9,313.53,0,0,64671340,133277752,1.41,318.98,1345.7,4554.52,77725112,256620496
2023-04-0501:21:39,3.48,217.78,16.55,0.99,19.4,18.94,0,0,15.89,313.53,0,0,64671340,133277752,1.18,317.79,1939.3,6544.42,77725264,256621008
2023-04-0501:26:49,3.48,218.91,16.55,0.91,20.39,19.92,0,0.13,15.9,313.53,0,0,64671340,133277752,1.07,318.96,2021,6847.95,77725408,256621520
2023-04-0501:31:46,3.49,218.54,16.57,0.9,20.56,20.08,0,0.04,15.91,313.53,0,0,64671340,133277752,1.07,318.36,2013.9,6811.21,77725600,256622160
2023-04-0501:36:37,3.49,218.97,16.56,0.92,18.87,18.39,0,0,15.9,313.53,0,0,64671340,133277752,1.1,318.93,1894.7,6418.75,77725760,256622704
2023-04-0501:41:39,3.49,220.13,16.58,1.15,12.23,11.68,0,0.06,15.9,313.53,0,0,64671340,133277752,1.38,319.97,1436.4,4876.92,77725872,256623072
2023-04-0501:46:39,3.48,217.6,16.56,1,19.37,18.89,0,0.11,15.91,313.54,0,0,64671340,133277752,1.19,317.78,1913.6,6457.4,77726016,256623584
2023-04-0501:51:40,3.49,217.99,16.56,0.98,19.08,18.6,0,0,15.91,313.53,0,0,64671340,133277752,1.14,317.94,1919.9,6483.19,77726168,256624080
2023-04-0501:56:41,3.49,218.6,16.55,0.96,17.64,17.15,0,0,15.92,313.54,0,0,64671340,133277752,1.18,318.71,1777.7,6016.62,77726320,256624592
2023-04-0502:01:38,3.49,219.58,16.56,0.96,16.27,15.76,0,0.08,15.92,313.56,0,0,64671340,133277752,1.16,319.53,1694,5748.53,77726472,256625104
2023-04-0502:06:39,3.49,217.99,16.56,0.95,19,18.52,0,0,15.93,313.56,0,0,64671340,133277752,1.1,317.9,1907.2,6440.5,77726632,256625648
2023-04-0502:11:40,3.49,219,16.54,0.89,19.53,19.04,0,0.18,15.93,313.56,0,0,64671340,133277752,1.06,319,1945.9,6594.42,77726792,256626176
2023-04-0502:16:41,3.49,217.84,16.54,0.89,19.81,19.34,0,0,15.92,313.58,0,0,64671340,133277752,1.04,317.78,1952.5,6591.87,77726952,256626720
2023-04-0502:21:37,3.49,218.06,16.55,0.88,19.63,19.14,0,0,15.95,313.59,0,0,64671340,133277752,1.04,318.09,1952.5,6598.31,77727112,256627264
2023-04-0502:26:47,3.49,218.88,16.56,0.86,19.53,19.05,0,0.02,15.93,313.56,0,0,64671340,133277752,1.06,318.84,1945.9,6591.01,77727264,256627776
2023-04-0502:31:44,3.49,217.54,16.55,0.83,20.91,20.41,0,0.04,15.93,313.53,0,0,64671340,133277752,1,317.78,2028.1,6848.38,77727440,256628384
2023-04-0502:36:40,3.48,217.6,16.53,0.77,21.6,21.11,0,0.03,15.92,313.44,0,0,64671340,133277752,0.9,317.52,2086.9,7043.85,77727616,256628992
2023-04-0502:41:41,3.49,222.02,16.53,0.75,11.83,11.28,0,0.06,15.86,313.41,0,0,64671340,133277752,0.94,321.92,1552.5,5312.45,77727792,256629568
2023-04-0502:46:38,3.49,217.44,16.54,0.88,15.39,14.86,0,0.03,15.78,313.32,0,0,64671340,133277752,1.06,317.94,1473.1,4975.77,77727912,256629968
2023-04-0502:51:39,3.49,217.08,16.53,0.71,21.2,20.73,0,0,15.71,313.26,0,0,64671340,133277752,0.83,317.1,2057.1,6935.71,77728072,256630512
2023-04-0502:56:40,3.49,218.91,16.53,0.67,21.09,20.62,0,0.06,15.68,313.19,0,0,64671340,133277752,0.77,318.74,2057.1,6973.19,77728248,256631120
2023-04-0503:01:41,3.48,218.45,16.53,0.65,20.94,20.47,0,0,15.61,313.12,0,0,64671340,133277752,0.77,318.23,2057.1,6962,77728408,256631664
2023-04-0503:06:37,3.48,217.75,16.51,0.64,21.22,20.75,0,0.01,15.51,313.04,0,0,64671340,133277752,0.75,317.65,2071.9,6999.93,77728576,256632240
2023-04-0503:11:38,3.48,218.42,16.52,0.64,20.43,19.96,0,0,15.46,312.94,0,0,64671340,133277752,0.76,318.62,1999.9,6777.04,77728752,256632816
2023-04-0503:16:39,3.48,218.24,16.52,0.63,20.9,20.43,0,0.02,15.4,312.84,0,0,64671340,133277752,0.73,318.34,2035.3,6891.81,77728920,256633392
2023-04-0503:21:40,3.48,216.47,16.53,0.6,23.73,23.29,0,0.02,15.3,312.79,0,0,64671340,133277752,0.71,316.37,2141.2,7205.99,77729088,256633968
2023-04-0503:26:50,3.48,218.91,16.52,0.56,23.05,22.59,0,0,15.25,312.72,0,0,64671340,133277752,0.66,318.8,2198.4,7456.66,77729248,256634512
2023-04-0503:31:43,3.49,218.21,16.53,0.62,20.6,20.13,0,0.23,15.13,312.65,0,0,64671340,133277752,0.72,318.27,1999.9,6771.18,77729432,256635120
2023-04-0503:36:39,3.49,219.31,16.54,0.59,18.2,17.7,0,0,15.09,312.59,0,0,64671340,133277752,0.73,319.57,1817,6176.78,77729592,256635664
2023-04-0503:41:40,3.49,220.1,16.54,0.63,17.95,17.46,0,0.02,15.04,312.54,0,0,64671340,133277752,0.77,320.21,1834.3,6247.14,77729744,256636176
2023-04-0503:46:41,3.49,220.1,16.53,0.64,18.21,17.72,0,0.18,14.96,312.44,0,0,64671340,133277752,0.77,320.19,1945.9,6626.84,77729888,256636688
2023-04-0503:51:37,3.49,219.76,16.53,0.64,18.27,17.78,0,0.02,14.89,312.4,0,0,64671340,133277752,0.78,319.75,1858,6318.59,77730048,256637232
2023-04-0503:56:38,3.49,219.12,16.54,0.72,15.28,14.76,0,0.06,14.81,312.35,0,0,64671340,133277752,0.88,319.29,1631.7,5539.06,77730192,256637712
2023-04-0504:01:39,3.49,218.42,16.53,0.73,15.65,15.12,0,0,14.78,312.27,0,0,64671340,133277752,0.88,318.73,1650.4,5592.59,77730320,256638144
2023-04-0504:06:40,3.49,219.34,16.52,0.73,15.89,15.37,0,0.02,14.74,312.2,0,0,64671340,133277752,0.86,319.47,1679.2,5703.97,77730464,256638624
2023-04-0504:11:41,3.49,219.28,16.53,0.71,17.28,16.77,0,0,14.68,312.15,0,0,64671340,133277752,0.83,319.27,1783.2,6053.55,77730608,256639136
2023-04-0504:16:37,3.49,219.49,16.53,0.68,18.7,18.21,0,0,14.6,312.07,0,0,64671340,133277752,0.79,319.44,1913.6,6500.53,77730760,256639632
2023-04-0504:21:39,3.49,219.21,16.53,0.73,12.6,12.05,0,0,14.53,312,0,0,64671340,133277752,0.91,319.62,1210,4111.1,77730912,256640144
2023-04-0504:26:49,3.49,217.23,16.51,0.7,18.97,18.48,0,0.06,14.49,311.97,0,0,64671340,133277752,0.82,317.56,1852,6253.77,77731040,256640592
2023-04-0504:31:46,3.48,219.03,16.5,0.6,22.79,22.33,0,0.18,14.44,311.91,0,0,64671340,133277752,0.71,319.05,2206.8,7489.65,77731240,256641264
2023-04-0504:36:37,3.49,219.12,16.52,0.58,22.37,21.91,0,0,14.38,311.86,0,0,64671340,133277752,0.67,319.18,2157.3,7325.8,77731408,256641840
2023-04-0504:41:38,3.49,219,16.52,0.63,20.32,19.84,0,0.05,14.36,311.81,0,0,64671340,133277752,0.73,319.09,1993,6764.93,77731584,256642416
2023-04-0504:46:39,3.49,218.97,16.51,0.61,20.81,20.32,0,0.03,14.29,311.75,0,0,64671340,133277752,0.7,318.98,2035.3,6906.89,77731744,256642960
